,Unnamed: 0,Theme,Sub Theme,Feature Name,x,y,queryKey,explore,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
36,36,Place Of Assembly,Theatre Live,FairFax Studio,144.968836241692,-37.8216684581887,FairFax Studio,FairFax%20Studio,1220.602,904.477,1065.905,948.317,791.18,708.752,794.629,766.396,759.373,871.198,743.759,950.849
37,37,Place Of Assembly,Theatre Live,Playhouse,144.968337832721,-37.8218124583016,Playhouse,Playhouse,927.287,553.868,853.066,1192.648,887.32,817.863,937.458,896.456,867.33,970.639,696.842,1017.093
38,38,Place Of Assembly,Theatre Live,State Theatre,144.968469643744,-37.8212806349773,State Theatre,State%20Theatre,1432.705,1063.13,1253.907,1093.956,932.696,839.145,942.099,908.181,898.713,1028.202,880.274,1118.103
39,39,Education Centre,Tertiary (University),University of Melbourne (VCA and Music),144.96933253996,-37.8241137662047,University of Melbourne (VCA and Music),University%20of%20Melbourne%20,508.411,299.986,466.365,676.079,489.085,448.399,513.387,491.055,475.538,533.721,379.288,561.553
40,40,Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,144.98114217385,-37.8352429531289,St Martins Youth Arts Centre,St%20Martins%20Youth%20Arts%20Centre,113.335,64.872,105.758,158.852,113.949,108.875,126.445,122.48,117.159,130.646,91.46,134.573
41,41,Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,144.912142987372,-37.7908082646624,Flemington Racecourse,Flemington%20Racecourse,9.155,9.624,9.866,9.879,11.057,9.884,10.983,11.131,9.562,10.889,9.8,8.941
42,42,Place Of Assembly,Theatre Live,Princess Theatre,144.9723265962,-37.8107257091302,Princess Theatre,Princess%20Theatre,250.259,282.328,302.017,304.828,290.419,272.814,296.944,339.255,307.987,283.258,289.257,290.324
43,43,Community Use,Public Buildings,State Library Victoria,144.964330322397,-37.8099852201226,State Library Victoria,State%20Library%20Victoria,0.0,342.373,682.322,668.402,150.33,79.807,115.424,159.063,126.863,350.894,296.445,284.019
44,44,Place Of Assembly,Theatre Live,Regent Theatre,144.967916735261,-37.8160014744179,Regent Theatre,Regent%20Theatre,883.329,835.495,940.366,953.761,893.198,846.394,935.394,936.132,878.201,1091.27,1125.434,1344.944
45,45,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),144.983402879078,-37.8194921618419,Melbourne Cricket Ground (MCG),Melbourne%20Cricket%20Ground%20,84.216,80.031,86.391,84.923,100.718,85.092,100.354,112.767,91.06,40.78,104.622,86.785
46,46,Zoo,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,144.951371205938,-37.7844449253712,Melbourne Zoo,Melbourne%20Zoo,28.376,27.901,35.986,31.308,32.217,27.321,29.006,33.562,30.069,32.22,30.682,31.247
47,47,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,144.95435243249,-37.8252455123297,Melbourne Exhibition Centre,Melbourne%20Exhibition%20Centre,128.054,138.676,147.996,131.86,150.699,128.947,142.519,140.285,129.557,160.578,146.342,139.657
48,48,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,144.952288281644,-37.8249040484653,Melbourne Convention Centre,Melbourne%20Convention%20Centre,158.047,176.847,183.712,163.693,195.905,168.523,187.406,184.973,170.296,205.62,180.971,163.364
49,49,Place Of Assembly,Art Gallery/Museum,Polly Woodside,144.953478052064,-37.8242574266145,Polly Woodside,Polly%20Woodside,149.097,161.87,172.591,153.682,176.179,152.459,168.326,165.521,153.488,184.644,170.204,160.673
50,50,Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,144.967252924593,-37.8266045432686,Australian Centre for Contemporary Art,Australian%20Centre%20for%20Contemporary%20Art,193.558,195.781,173.308,110.373,136.289,135.244,151.349,155.618,122.591,163.764,126.198,135.452
51,51,Place Of Assembly,Theatre Live,Malthouse Theatre,144.966936821789,-37.8271768001126,Malthouse Theatre,Malthouse%20Theatre,181.342,183.398,162.169,104.599,128.586,127.326,142.418,146.42,115.144,153.969,118.367,127.169
52,52,Place of Worship,Church,St Patricks Cathedral,144.975901529712,-37.8101140950474,St Patricks Cathedral,St%20Patricks%20Cathedral,106.395,115.25,124.695,111.54,128.946,108.899,125.596,129.097,82.195,0.0,0.0,0.0
53,53,Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,144.968837288153,-37.8219947335768,Victorian Arts Centre,Victorian%20Arts%20Centre,1118.002,827.648,972.532,892.156,716.844,637.383,712.817,688.251,683.628,788.478,670.398,866.341
54,54,Community Use,Public Buildings,Melbourne Town Hall,144.966542722283,-37.8150754791411,Melbourne Town Hall,Melbourne%20Town%20Hall,0.0,0.0,0.0,978.124,868.589,1294.313,1468.363,1808.904,1165.227,0.0,0.0,0.0
55,55,Community Use,Public Buildings,Sidney Myer Music Bowl,144.974686151365,-37.8233471608733,Sidney Myer Music Bowl,Sidney%20Myer%20Music%20Bowl,320.248,185.464,297.651,438.502,316.649,303.764,353.191,343.027,327.753,365.344,258.033,375.994
56,56,Casino,Casino,Crown Entertainment Complex,144.957312880653,-37.8235761092516,Crown Entertainment Complex,Crown%20Entertainment%20Complex,264.381,275.535,261.372,269.967,288.49,240.704,276.529,282.142,222.73,309.646,242.956,251.888
