,Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x,y,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
0,2019,618,109993,109993,Pullman On The Park,178-226 Wellington Parade EAST MELBOURNE 3002,East Melbourne,1967.0,2018.0,20.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,37.0,True,144.9835,-37.81582,81.715,93.897,98.955,86.32,102.456,85.512,98.449,101.108,92.682,83.045,93.877,83.189
1,2019,265,101580,101580,,53 Cardigan Street CARLTON 3053,Carlton,1896.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96427,-37.80548,79.889,130.14,200.264,191.947,98.041,82.331,119.425,135.745,120.774,137.052,124.376,115.621
2,2019,614,107647,107647,,177-181 Powlett Street EAST MELBOURNE 3002,East Melbourne,1968.0,,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.98573,-37.81087,67.385,77.45,81.617,71.15,84.531,70.551,81.193,83.335,76.471,68.641,77.48,68.652
3,2019,606,104234,104234,Georgian Court,21-27 George Street EAST MELBOURNE 3002,East Melbourne,,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,False,144.98936,-37.81603,53.194,61.132,64.423,56.179,66.713,55.679,64.091,65.802,60.356,54.146,61.141,54.178
4,2019,15,104009,104009,Double Tree by Hilton,270-272 Flinders Street MELBOURNE 3000,Melbourne (CBD),1977.0,2002.0,15.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96535,-37.81769,0.0,0.0,0.0,706.681,497.214,887.707,1016.836,1364.967,732.163,0.0,0.0,0.0
5,2019,606,104835,104835,Millhayes Apartments,1085 Hoddle Street EAST MELBOURNE 3002,East Melbourne,,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.98996,-37.81619,51.248,58.897,62.067,54.124,64.274,53.643,61.747,63.395,58.149,52.17,58.906,52.198
6,2019,601,108767,108767,,158-174 Simpson Street EAST MELBOURNE 3002,East Melbourne,1939.0,2002.0,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.98914,-37.81066,53.546,61.545,64.855,56.539,67.171,56.061,64.518,66.222,60.769,54.558,61.568,54.554
7,2019,243,109327,109327,Rydges On Swanston - Melbourne,701-713 Swanston Street CARLTON 3053,Carlton,1968.0,1998.0,6.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96338,-37.80142,102.89,127.76,205.581,172.359,186.17,117.71,125.69,192.995,167.281,171.234,131.573,98.224
8,2019,248,102758,102758,Denver Terrace,190 Drummond Street CARLTON 3053,Carlton,,,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96863,-37.802,102.381,126.072,206.38,155.363,164.855,98.169,118.764,179.984,147.031,146.85,127.726,106.281
9,2019,252,111437,111437,Quest Carlton On Finlay,2-20 Finlay Place CARLTON 3053,Carlton,2002.0,,6.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96702,-37.80392,50.019,59.655,99.066,83.773,96.167,57.354,60.399,82.576,77.653,79.372,66.248,46.807
10,2019,2384,616747,616747,,171-173 Melrose Street NORTH MELBOURNE 3051,North Melbourne,2013.0,,3.0,Commercial Accommodation,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,0.0,,144.94231,-37.79074,8.666,10.33,17.293,14.646,17.59,9.973,10.739,14.07,13.475,13.652,11.264,7.706
11,2019,215,103144,103144,,138-144 Elgin Street CARLTON 3053,Carlton,2010.0,,3.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96981,-37.79715,96.362,92.198,113.893,99.588,106.525,86.447,87.709,103.426,94.31,101.584,95.51,91.182
12,2019,36,105916,105916,Victoria Hotel,201-207 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1928.0,1969.0,10.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.96753,-37.81434,1073.983,983.571,1087.209,1086.82,1006.987,979.378,1083.853,1038.22,1016.583,837.1,1142.317,1377.539
13,2019,34,110669,110669,,353-359 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1983.0,2008.0,10.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.963,-37.8157,1099.131,1024.944,1172.947,1197.784,1064.791,1014.479,1106.081,1114.078,1030.774,1064.653,1147.875,1343.164
14,2019,14,104006,104006,Rendezvous Hotel Melbourne,318-332 Flinders Street MELBOURNE 3000,Melbourne (CBD),1913.0,1997.0,10.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,4.0,True,144.96358,-37.81819,1532.67,1230.8,1354.284,1201.778,997.609,865.562,949.961,930.661,901.347,1069.887,942.258,1158.768
15,2019,646,106793,106793,,20-22 Morrison Place EAST MELBOURNE 3002,East Melbourne,1970.0,2000.0,2.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.97687,-37.80899,81.97,88.697,95.981,85.903,99.298,83.865,96.737,99.347,62.674,0.0,0.0,0.0
16,2019,248,102750,102750,Derby Terrace,206 Drummond Street CARLTON 3053,Carlton,1870.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96876,-37.80157,104.923,129.033,210.925,158.903,168.664,100.751,121.68,184.105,150.461,150.313,130.754,109.141
17,2019,248,102755,102755,Carlton Terrace,196 Drummond Street CARLTON 3053,Carlton,1890.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.96865,-37.80184,103.82,127.825,209.193,157.498,167.15,99.598,120.438,182.481,149.078,148.894,129.491,107.837
18,2019,248,102745,102745,Jersey House,216 Drummond Street CARLTON 3053,Carlton,1901.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96864,-37.80132,109.858,134.988,220.466,166.163,176.385,105.539,127.352,192.504,157.372,157.247,136.808,114.367
19,2019,45,101143,101143,Deva House,327-329 Bourke Street MELBOURNE 3000,Melbourne (CBD),1924.0,1997.0,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96416,-37.81432,1684.326,1343.247,1548.347,1591.036,1583.091,1685.443,1820.94,1852.548,1718.224,1845.765,1891.208,2185.594
20,2019,247,102657,102657,,169 Drummond Street CARLTON 3053,Carlton,1870.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9677,-37.80241,80.155,102.585,169.873,137.275,147.564,89.319,99.414,157.413,132.678,134.193,104.129,77.718
21,2019,16,103932,103932,Flinders Landing Apartments,161-163 Flinders Lane MELBOURNE 3000,Melbourne (CBD),1909.0,1998.0,7.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96908,-37.81604,927.811,875.589,1004.148,1027.654,910.266,866.439,942.754,940.852,874.571,1025.347,1007.724,1214.27
22,2019,14,103172,103172,,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),1966.0,1990.0,13.0,Commercial Accommodation,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,0.0,True,144.96433,-37.81742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.267,1469.875,1868.234
23,2019,217,103106,103106,,187 Elgin Street CARLTON 3053,Carlton,1870.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96826,-37.79747,80.285,111.479,206.469,151.114,172.287,87.381,106.993,184.533,141.487,135.172,107.452,78.313
24,2019,265,101578,101578,,51 Cardigan Street CARLTON 3053,Carlton,1896.0,2012.0,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96425,-37.80553,78.635,130.072,201.057,192.79,97.37,81.5,119.074,135.667,120.525,136.79,123.77,114.942
25,2019,84,108091,108091,,310-314 Queen Street MELBOURNE 3000,Melbourne (CBD),1955.0,1983.0,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.95947,-37.81136,453.925,463.208,509.051,482.092,487.114,440.603,487.015,506.597,483.894,576.476,565.64,564.683
26,2019,617,102010,102010,,68-70 Clarendon Street EAST MELBOURNE 3002,East Melbourne,,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.98329,-37.8143,86.152,99.001,104.334,90.994,108.035,90.169,103.797,106.582,97.724,87.585,98.995,87.721
27,2019,36,105917,105917,The Victoria Hotel,209-221 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1934.0,2003.0,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.96708,-37.81446,1056.165,977.951,1091.217,1097.95,1045.036,1011.202,1124.537,1104.198,1055.014,1078.948,1182.237,1412.163
28,2019,46,108537,108537,,131-141 Russell Street MELBOURNE 3000,Melbourne (CBD),2015.0,,12.0,Commercial Accommodation,High level of accessibility,Main Entrance has ramp,3.0,6.0,False,144.96784,-37.81343,438.664,442.487,469.948,493.549,466.701,501.475,543.383,587.686,567.637,610.691,464.27,545.654
29,2019,655,105121,105121,Mantra In Jolimont,133-143 Jolimont Road EAST MELBOURNE 3002,East Melbourne,,,9.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.97828,-37.81795,143.919,135.363,146.12,144.873,172.019,145.31,171.543,193.064,155.528,69.871,178.492,147.788
30,2019,256,109323,109323,,607-621 Swanston Street CARLTON 3053,Carlton,2013.0,,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,18.0,,144.96296,-37.80404,0.0,0.0,0.0,0.0,0.0,0.0,294.386,398.964,327.188,358.627,259.102,208.916
31,2019,64,106911,106911,,15-17 Niagara Lane MELBOURNE 3000,Melbourne (CBD),1920.0,1997.0,4.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9614,-37.81325,920.522,922.938,1046.988,1028.215,1005.755,972.179,948.957,913.667,976.44,1062.562,1060.574,1208.367
32,2019,64,105871,105871,Chart House,372-378 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1942.0,2007.0,6.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96148,-37.81342,914.41,917.287,1041.224,1023.863,1001.027,968.282,942.106,904.952,971.259,1057.31,1056.586,1204.434
33,2019,35,102143,102143,St. Collins Lane,258-274 Collins Street MELBOURNE 3000,Melbourne (CBD),1992.0,2016.0,13.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96489,-37.81538,1278.681,900.174,994.504,983.832,1124.094,1245.996,1390.825,1328.184,1299.34,1094.383,1473.925,1793.723
34,2019,214,102689,102689,,371-379 Drummond Street CARLTON 3053,Carlton,1970.0,2000.0,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96882,-37.79682,66.527,93.283,173.927,126.897,144.889,72.639,89.321,155.295,118.755,113.196,89.616,64.622
35,2019,15,104011,104011,,250-254 Flinders Street MELBOURNE 3000,Melbourne (CBD),1910.0,2000.0,4.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.966,-37.81752,1399.846,1418.076,1489.542,1569.848,1613.904,1622.734,1787.861,1941.686,1654.398,1587.305,1524.173,1636.688
36,2019,25,110857,110857,The Collins,233-239 Collins Street MELBOURNE 3000,Melbourne (CBD),1959.0,2001.0,13.0,Commercial Accommodation,High level of accessibility,Main Entrance has ramp,3.0,0.0,True,144.9661,-37.816,2078.814,1945.765,2242.863,2304.7,2023.61,1928.472,2091.479,2136.969,1949.553,2694.848,2835.141,3384.834
37,2019,247,106236,106236,Carlton Lygon Lodge,220-228 Lygon Street CARLTON 3053,Carlton,1971.0,2009.0,5.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96719,-37.80192,162.585,158.139,199.138,173.68,174.924,151.366,161.457,182.728,166.613,180.226,174.416,177.133
38,2019,35,105922,105922,Presgrave Building,273-279 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1938.0,2000.0,7.0,Commercial Accommodation,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,0.0,,144.96537,-37.8149,1776.856,1294.044,1429.648,1414.306,1544.552,1758.065,1966.822,1875.257,1839.561,1543.855,2085.786,2540.779
39,2019,55,109284,109284,Hotel Swanston,191-205 Swanston Street MELBOURNE 3000,Melbourne (CBD),1989.0,2000.0,16.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96501,-37.8131,1013.798,0.0,0.0,0.0,704.684,1478.976,1592.175,1617.439,1507.438,1576.319,1661.317,1881.933
40,2019,14,103947,103947,The Sebel Melbourne,317-323 Flinders Lane MELBOURNE 3000,Melbourne (CBD),1923.0,1995.0,12.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.96375,-37.81774,449.268,483.292,455.079,492.322,512.274,464.29,510.249,521.045,414.287,533.785,415.284,442.575
41,2019,610,104359,104359,,58-64 Gipps Street EAST MELBOURNE 3002,East Melbourne,,,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.98758,-37.8129,60.751,69.822,73.579,64.154,76.2,63.597,73.198,75.142,68.935,61.855,69.838,61.884
42,2019,255,108033,108033,,140 Queensberry Street CARLTON 3053,Carlton,1880.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96424,-37.80444,149.426,140.084,162.83,145.049,147.282,126.938,129.243,138.884,137.708,152.456,149.605,143.507
43,2019,25,103965,103965,Invicta House,226-232 Flinders Lane MELBOURNE 3000,Melbourne (CBD),1945.0,2000.0,7.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96639,-37.81641,1767.177,1658.131,1900.724,1947.284,1735.791,1651.941,1799.715,1829.715,1680.517,2101.931,2185.848,2588.783
44,2019,219,104480,104480,,32 Grattan Street CARLTON 3053,Carlton,,,2.0,Commercial Accommodation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.96865,-37.8007,117.164,142.898,231.831,175.385,186.034,112.693,135.304,202.844,166.245,166.444,145.203,122.485
45,2019,612,100373,100373,Eastern Town House,84-90 Albert Street EAST MELBOURNE 3002,East Melbourne,1981.0,1999.0,4.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.98818,-37.81047,56.562,65.012,68.509,59.723,70.955,59.22,68.152,69.951,64.192,57.631,65.037,57.628
46,2019,656,109989,109989,Quest Jolimont,153-155 Wellington Parade South EAST MELBOURNE 3002,East Melbourne,,,7.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.97957,-37.81676,115.606,132.796,139.961,122.194,144.856,120.902,139.263,143.135,131.03,117.178,132.657,117.569
47,2019,15,103943,103943,The Lane Building,267-275 Flinders Lane MELBOURNE 3000,Melbourne (CBD),1899.0,1997.0,6.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.96548,-37.81711,748.003,711.647,790.259,1029.082,936.632,1023.05,1150.517,1257.365,1009.461,845.665,854.899,1015.464
48,2019,74,106019,106019,,399-401 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),2018.0,,38.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,44.0,True,144.96014,-37.81205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.485,959.354,941.637
49,2019,26,109418,109418,The Westin Melbourne,199-209 Collins Street MELBOURNE 3000,Melbourne (CBD),2000.0,,16.0,Commercial Accommodation,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,22.0,True,144.96743,-37.81581,1128.316,1067.12,1201.311,1218.562,1140.558,1080.843,1194.309,1195.457,1121.22,1368.382,1408.556,1679.88
50,2019,218,102674,102674,Travel Inn Hotel,225-245 Drummond Street CARLTON 3053,Carlton,1972.0,2008.0,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96808,-37.80045,115.6,146.671,246.865,183.32,194.749,110.346,136.658,213.631,172.718,171.226,147.572,118.062
51,2019,55,105840,105840,Welcome Hotel,265-279 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1990.0,2002.0,13.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96466,-37.8129,932.229,0.0,0.0,0.0,641.441,1253.988,1388.001,1388.776,1320.024,1298.825,1449.322,1687.327
52,2019,16,103938,103938,ADELPHI HOTEL,187 Flinders Lane MELBOURNE 3000,Melbourne (CBD),1938.0,1993.0,10.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96838,-37.81636,709.08,670.783,754.718,822.82,757.846,751.973,834.152,862.854,765.115,771.917,784.222,923.771
53,2019,65,105875,105875,,318-322 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1932.0,2002.0,6.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96313,-37.81293,1439.918,1446.561,1644.845,1623.302,1584.953,1536.136,1480.996,1413.072,1535.199,1673.016,1677.589,1914.938
54,2019,36,102149,102149,Clyde House,182 Collins Street MELBOURNE 3000,Melbourne (CBD),1915.0,2000.0,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96744,-37.81478,0.0,0.0,0.0,739.777,610.622,970.603,1104.318,1388.868,858.331,0.0,0.0,0.0
