Sensor_ID,Month,Hourly_Counts
21,September,485665
22,April,1333821
22,August,1359268
22,December,1346535
22,February,645261
22,July,1356376
22,June,1250112
22,March,1355988
22,May,1337425
22,November,1311400
22,October,1366031
22,September,1271923
23,April,266769
23,August,301302
23,December,274081
23,February,281998
23,January,257814
23,July,306362
23,June,279722
23,March,304888
23,May,309152
23,November,303151
23,October,333927
23,September,283404
24,April,964507
24,August,1101164
24,December,958089
24,February,993208
24,January,910109
24,July,1087198
24,June,895342
24,March,1086273
24,May,1098166
24,November,1054288
24,October,1089498
24,September,984837
25,April,439058
25,August,124109
25,December,811202
25,February,428863
25,January,451455
25,July,95611
25,June,53257
25,March,468063
25,May,423934
25,November,537345
25,October,965404
26,April,458090
26,August,476418
26,December,401642
26,February,389149
26,January,383737
26,July,478321
26,June,452833
26,March,494694
26,May,451626
26,November,422450
26,October,449644
26,September,414913
27,April,102094
27,August,110089
27,December,86444
27,February,98475
27,January,95240
27,July,96748
27,June,81773
27,March,111400
27,May,101659
27,November,91938
27,October,116007
27,September,105748
28,April,1101262
28,August,815103
28,December,732686
28,February,681857
28,January,884885
28,July,868490
28,June,744230
28,March,836962
28,May,728549
28,November,774709
28,October,784497
28,September,772680
29,August,245551
29,December,279113
29,February,710020
29,January,598964
29,July,213410
29,June,164151
29,March,634700
29,May,21844
29,November,323731
29,October,306072
29,September,239907
30,April,410726
30,August,409135
30,December,367248
30,February,345411
30,January,343747
30,July,379061
30,June,366324
30,March,398364
30,May,376767
30,November,388344
30,October,430807
30,September,390685
31,April,172391
31,August,165319
31,December,187154
31,February,177093
31,January,194706
31,July,159907
31,June,158363
31,March,191514
31,May,169701
31,November,186602
31,October,185840
31,September,165207
33,April,118133
33,August,132337
33,February,118849
33,January,114549
33,July,133610
33,June,115061
33,March,129300
33,May,135847
33,September,52550
34,April,116321
34,August,136747
34,December,94563
34,February,104547
34,January,94461
34,July,113320
34,June,85052
34,March,108845
34,May,103805
34,November,100883
34,October,110627
34,September,112127
35,April,1019327
35,August,726588
35,December,977637
35,February,1062057
35,January,1395117
35,July,750612
35,June,682976
35,March,1183184
35,May,799405
35,November,770162
35,October,861390
35,September,733141
36,April,214812
36,August,240292
36,December,218358
36,February,228873
36,January,202057
36,July,233392
36,June,205328
36,March,245590
36,May,240043
36,November,241665
36,October,254897
36,September,223170
37,April,106334
37,August,102369
37,December,112671
37,February,97817
37,January,108837
37,July,102365
37,June,93638
37,March,114434
37,May,98669
37,November,115676
37,October,111083
37,September,98161
39,April,197189
39,August,132679
39,December,165152
39,February,199810
39,January,181529
39,July,221432
39,June,192324
39,March,208880
39,May,206332
39,November,17999
39,October,234741
39,September,188830
40,April,214979
40,August,266445
40,December,198684
40,February,196561
40,January,171063
40,July,235568
40,June,223007
40,March,222759
40,May,281066
40,November,216955
40,October,252753
40,September,232039
41,December,1470360
41,November,1123654
41,October,982823
42,April,220715
42,August,267000
42,December,118286
42,February,169289
42,January,117611
42,July,152560
42,June,116327
42,March,311407
42,May,240238
42,November,162983
42,October,199612
42,September,208020
43,April,164677
43,August,217817
43,December,50258
43,February,93406
43,January,66420
43,July,114284
43,June,111134
43,March,209602
43,May,227640
43,November,85326
43,October,134082
43,September,149689
44,April,75141
44,August,89111
44,December,27639
44,February,53680
44,January,38773
44,July,60895
44,June,56387
44,March,89253
44,May,92402
44,November,47221
44,October,63950
44,September,66402
45,August,684434
45,December,765819
45,January,316115
45,July,659169
45,June,583946
45,May,112614
45,November,674366
45,October,684616
45,September,635022
46,April,87432
46,August,76900
46,December,40236
46,February,56411
46,January,44998
46,July,58895
46,June,56420
46,March,104582
46,May,108376
46,November,66651
46,October,77567
46,September,77615
47,April,688106
47,August,713839
47,December,802147
47,February,662439
47,January,680089
47,July,696657
47,June,643533
47,March,726566
47,May,675960
47,November,730207
47,October,737876
47,September,672015
48,April,194094
48,August,206594
48,December,207354
48,February,192947
48,January,196588
48,July,210726
48,June,191765
48,March,211379
48,May,184452
48,November,205257
48,October,194462
48,September,179613
49,April,124474
49,August,137175
49,December,132729
49,February,112189
49,January,120066
49,July,143560
49,June,126034
49,March,127677
49,May,115982
49,November,135467
49,October,95136
49,September,92844
50,April,190149
50,August,193312
50,December,223798
50,February,180125
50,January,199043
50,July,191883
50,June,187368
50,March,202704
50,May,188217
50,November,205259
50,October,205187
50,September,184287
51,April,103660
51,August,99287
51,December,97110
51,February,98280
51,January,89211
51,July,91950
51,June,87150
51,March,114860
51,May,95544
51,November,94936
51,October,101169
51,September,87344
52,April,307012
52,August,325035
52,December,310402
52,February,294649
52,January,280657
52,July,309749
52,June,276761
52,March,324185
52,May,315261
52,November,328209
52,October,332227
52,September,313040
53,April,519447
53,August,526407
53,December,663114
53,February,464717
53,January,488458
53,July,531789
53,June,476428
53,March,516052
53,May,504296
53,November,558263
53,October,552233
53,September,501133
54,April,141547
54,August,166983
54,December,59002
54,February,92906
54,January,62066
54,July,95163
54,June,87577
54,March,170999
54,May,155754
54,November,94127
54,October,138340
54,September,138778
55,December,669568
55,November,713305
55,October,775283
56,April,233179
56,August,254487
56,December,250344
56,February,217226
56,January,214985
56,July,241852
56,June,223733
56,March,253658
56,May,238458
56,November,196484
56,October,234400
56,September,233349
57,April,575302
57,August,858475
57,December,381787
57,February,686229
57,January,461648
57,July,814354
57,June,605363
57,March,733140
57,May,587826
57,November,545572
57,October,501537
57,September,484880
58,April,578578
58,August,628506
58,December,545728
58,February,557128
58,January,535146
58,July,628781
58,June,571098
58,March,613387
58,May,633535
58,November,598612
58,October,632112
58,September,560959
59,April,595621
59,August,141743
59,December,83730
59,February,305093
59,July,102856
59,June,71117
59,March,608025
59,May,133961
59,November,96644
59,October,134032
59,September,113049
60,April,497645
60,August,961210
60,July,716056
60,June,625123
60,May,350138
60,September,515589
61,August,510872
61,December,266536
61,July,384924
61,November,323670
61,October,459406
61,September,412081
62,December,96873
62,November,107741
62,October,126595
