,Theme,Sub Theme,Feature Name,x,y,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
77,Place Of Assembly,Theatre Live,Comedy Theatre,144.9701331,-37.81020539,365.496,373.592,421.665,435.397,398.872,386.922,403.492,438.056,413.964,448.113,406.619,393.279
78,Place Of Assembly,Theatre Live,La Mama Theatre,144.9676695,-37.7991305,113.154,153.718,279.069,204.306,230.269,118.681,145.338,247.363,191.784,184.49,148.942,110.882
79,Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,144.980555,-37.81454075,116.724,134.114,141.346,123.307,146.336,122.139,140.621,144.436,132.347,118.459,134.056,118.791
80,Education Centre,Tertiary (University),BIO 21 Institute,144.9537803,-37.79787433,19.657,27.652,48.992,38.223,45.319,25.076,28.804,45.949,34.733,33.24,25.413,16.441
81,Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,144.95404,-37.82221828,494.357,570.875,574.022,518.295,644.609,531.238,614.889,613.683,551.65,636.913,555.843,479.661
82,Place Of Assembly,Art Gallery/Museum,Immigration Museum,144.9604268,-37.81917988,0.0,546.583,974.448,936.888,908.008,838.143,911.409,910.03,857.991,934.578,886.978,937.077
83,Place of Worship,Church,St Pauls Cathedral,144.9676816,-37.8169549,757.056,599.876,770.734,1074.586,896.09,899.127,1017.152,1046.986,916.583,894.968,790.285,1022.761
84,Place Of Assembly,Theatre Live,Forum Theatre,144.9693866,-37.81648541,325.677,247.6,337.734,502.081,406.214,396.62,456.44,389.85,396.155,420.0,163.237,371.566
85,Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,144.9753737,-37.80857613,82.374,89.266,96.61,86.464,100.056,84.457,97.341,100.127,63.945,0.0,0.0,0.0
86,Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,144.9641567,-37.79739396,153.929,197.297,338.525,253.294,278.672,157.394,189.28,300.553,238.831,234.267,196.17,157.135
87,Education Centre,Tertiary (University),University of Melbourne,144.9609952,-37.79828923,38.275,50.13,91.431,74.46,90.873,48.316,52.301,74.34,66.68,65.569,54.067,33.427
88,Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,144.9540279,-37.81338543,212.029,236.28,256.604,224.596,255.786,223.36,259.618,260.24,230.599,262.302,247.461,221.277
89,Education Centre,Tertiary (University),RMIT University,144.964453,-37.80807954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.069,258.878,260.074
90,Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),144.9432908,-37.799947,17.501,18.02,25.733,23.282,24.569,18.164,17.327,19.899,18.203,20.429,19.048,16.385
91,Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,144.9716965,-37.7934377,35.902,50.834,95.258,69.204,78.919,39.101,48.418,84.798,64.765,61.634,48.708,34.821
92,Leisure/Recreation,Major Sports & Recreation Facility,City Baths,144.9631898,-37.80715854,176.15,209.986,283.275,271.353,204.537,204.666,253.798,261.82,203.637,218.722,230.589,218.502
93,Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,144.9794713,-37.81446049,136.346,156.646,165.099,144.047,170.914,142.655,164.254,168.732,154.555,138.227,156.544,138.719
94,Aquarium,Aquarium,Melbourne Aquarium,144.9584257,-37.82096278,616.978,668.493,715.639,649.84,732.967,601.238,722.989,732.746,644.614,735.576,690.43,638.541
95,Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,144.9797203,-37.82424569,69.872,74.623,73.707,26.423,36.841,40.775,52.17,58.929,51.987,55.396,54.59,49.506
96,Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,144.9715219,-37.80460262,45.145,57.545,87.057,75.733,87.211,57.918,61.888,89.374,76.293,79.0,60.497,46.793
97,Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,144.9474963,-37.81617605,294.554,347.556,340.124,308.808,378.077,331.183,373.633,372.533,317.438,363.82,317.369,267.498
98,Observation Tower/Wheel,Observation Tower/Wheel,Eureka Skydeck 88,144.9646222,-37.82161876,877.387,734.846,849.657,1002.186,763.082,748.096,854.834,822.979,777.766,827.085,800.036,795.919
99,Community Use,Visitor Centre,Melbourne Visitor Centre,144.9679371,-37.81773524,673.257,798.087,713.425,0.0,171.785,447.373,540.979,680.193,486.467,344.036,363.885,313.733
100,Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),144.9690704,-37.81761073,648.645,768.913,687.345,0.0,124.417,357.661,437.174,542.53,408.179,331.459,350.583,302.264
101,Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,144.9813834,-37.80973741,92.783,106.542,112.429,97.782,116.888,97.551,111.888,114.504,104.313,91.826,104.026,92.079
102,Place Of Assembly,Art Gallery/Museum,The Museum Of Australian Chinese History,144.9692339,-37.81076861,280.41,305.966,345.98,344.03,389.365,333.895,350.908,390.565,351.586,381.869,335.471,314.82
