,Theme,Sub Theme,Feature Name,x,y,query
21,Place of Worship,Church,Ukranian Catholic Cathedral,144.9443135,-37.79630846,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Ukranian Catholic Cathedral"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Ukranian%20Catholic%20Cathedral"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
22,Place of Worship,Church,St Alban Anglican Church,144.9416145,-37.79421695,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""St Alban Anglican Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=St%20Alban%20Anglican%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
23,Place of Worship,Church,Christ Church Kensington,144.9272957,-37.79321095,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Christ Church Kensington"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Christ%20Church%20Kensington"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
24,Place of Worship,Church,Holy Rosary,144.9283621,-37.79480874,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Holy Rosary"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Holy%20Rosary"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
25,Place of Worship,Church,Collins Street Baptist Church,144.9680725,-37.81470119,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Collins Street Baptist Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Collins%20Street%20Baptist%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
26,Place of Worship,Church,St Thomas Aquinas Church,144.9768091,-37.83530769,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""St Thomas Aquinas Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=St%20Thomas%20Aquinas%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
27,Place of Worship,Church,South Yarra Presbyterian Church,144.985627,-37.84074736,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""South Yarra Presbyterian Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=South%20Yarra%20Presbyterian%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
28,Place of Worship,Church,The Parish of Christ Church South Yarra,144.9860094,-37.83862705,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""The Parish of Christ Church South Yarra"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=The%20Parish%20of%20Christ%20Church%20South%20Yarra"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
29,Community Use,Visitor Centre,Melbourne Visitor Booth,144.9644259,-37.81395251,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Melbourne Visitor Booth"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Melbourne%20Visitor%20Booth"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
30,Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,144.947581,-37.785786,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""State Netball Hockey Centre"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=State%20Netball%20Hockey%20Centre"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
